anime_id,title,genres,episodes,score,members,synopsis,image_style,dark_tone,romance_level,action_level,emotional_level
19,86,"Action,Drama,Sci-Fi",23,8.4,650000,"Young soldiers fight in a war that hides discrimination, trauma and the cost of survival.","military sci-fi drama",0.85,0.15,0.90,0.90
20,Violet Evergarden,"Drama,Fantasy,Slice of Life",13,8.7,1100000,"A former soldier learns to understand emotions and love by writing letters for others.","beautiful emotional drama",0.35,0.45,0.05,1.00
21,Haibane Renmei,"Drama,Fantasy,Mystery,Slice of Life",13,8.0,180000,"Beings with wings live in a walled town and slowly confront guilt, identity and redemption.","quiet symbolic fantasy",0.55,0.05,0.05,0.90
22,Paranoia Agent,"Drama,Mystery,Psychological,Supernatural",13,8.0,300000,"A mysterious attacker connects different people through social pressure, fear and psychological collapse.","surreal psychological dark",0.90,0.05,0.20,0.70
23,Barakamon,"Comedy,Slice of Life",12,8.4,400000,"A calligrapher moves to a rural island and learns creativity, community and personal balance.","bright rural slice of life",0.10,0.05,0.05,0.65
24,The Tatami Galaxy,"Comedy,Mystery,Psychological,Romance",11,8.6,300000,"A university student relives different versions of campus life while searching for a meaningful path.","experimental campus comedy",0.35,0.45,0.05,0.75
25,Land of the Lustrous,"Action,Drama,Fantasy,Mystery",12,8.4,280000,"Gem-like beings fight mysterious enemies while one fragile character searches for purpose and change.","crystal fantasy action",0.55,0.10,0.65,0.80
26,Clannad After Story,"Drama,Romance,Slice of Life",24,8.9,900000,"A young couple faces adulthood, family responsibilities and emotional hardship after high school.","soft emotional romance",0.35,0.90,0.05,1.00
27,Nana,"Drama,Music,Romance,Slice of Life",47,8.5,500000,"Two women with the same name meet by chance and navigate friendship, love, ambition and heartbreak in Tokyo.","urban emotional music drama",0.45,0.85,0.05,0.95
28,Kids on the Slope,"Drama,Music,Romance,Slice of Life",12,8.3,250000,"Two boys bond through jazz music, friendship and complicated emotions during their school years.","nostalgic music drama",0.25,0.65,0.05,0.85
29,Run with the Wind,"Drama,Sports",23,8.4,300000,"A group of university students train for a relay marathon while discovering discipline, friendship and personal growth.","realistic sports drama",0.25,0.05,0.20,0.85
30,Great Pretender,"Action,Adventure,Comedy,Crime",23,8.2,650000,"A small-time Japanese swindler becomes involved in international confidence games with stylish criminals.","colorful crime adventure",0.35,0.10,0.60,0.45
31,Baccano,"Action,Mystery,Supernatural",13,8.4,700000,"Multiple chaotic stories involving immortals, gangsters and a train incident unfold across different timelines.","chaotic vintage action",0.60,0.10,0.80,0.55
32,Durarara,"Action,Mystery,Supernatural",24,8.1,900000,"Strange urban legends, gangs and supernatural events collide in the streets of Ikebukuro.","urban supernatural mystery",0.60,0.15,0.55,0.50
33,Mononoke,"Fantasy,Horror,Mystery,Psychological",12,8.4,220000,"A mysterious medicine seller confronts spirits by uncovering their form, truth and reason.","stylized horror fantasy",0.85,0.05,0.25,0.70
34,Serial Experiments Lain,"Avant Garde,Drama,Mystery,Sci-Fi",13,8.1,500000,"A quiet girl becomes connected to a strange digital network that blurs identity, reality and technology.","dark cyber psychological",0.90,0.05,0.05,0.80
35,Texhnolyze,"Action,Drama,Psychological,Sci-Fi",22,7.8,180000,"In a decaying underground city, a fighter becomes involved in violent power struggles and technological transformation.","bleak cyberpunk drama",1.00,0.05,0.65,0.85
36,Psycho-Pass,"Action,Psychological,Sci-Fi,Thriller",22,8.3,1400000,"In a future society, police use a system that predicts criminal potential, raising questions about justice and free will.","dark futuristic thriller",0.90,0.05,0.75,0.65
37,Black Lagoon,"Action,Crime,Seinen",24,8.0,800000,"A businessman is pulled into the violent world of mercenaries, smugglers and criminal organizations.","gritty crime action",0.75,0.05,0.95,0.45
38,Darker than Black,"Action,Mystery,Sci-Fi,Supernatural",25,8.0,700000,"People with supernatural abilities called Contractors operate in secret after a mysterious gate appears.","dark urban sci-fi",0.80,0.10,0.85,0.55
39,Trigun,"Action,Adventure,Comedy,Sci-Fi",26,8.2,750000,"A legendary gunman with a huge bounty tries to avoid killing while being chased across a desert planet.","retro western sci-fi",0.35,0.10,0.80,0.60
40,Planetes,"Drama,Romance,Sci-Fi,Slice of Life",26,8.3,230000,"Space debris collectors face work, ambition, relationships and the human meaning of exploring space.","realistic space drama",0.35,0.55,0.05,0.80
41,Welcome to the NHK,"Comedy,Drama,Psychological,Romance",24,8.3,500000,"A socially isolated young man struggles with anxiety, conspiracy thoughts and attempts to rejoin society.","urban psychological drama",0.70,0.45,0.05,0.90
42,Honey and Clover,"Comedy,Drama,Romance,Slice of Life",24,8.0,250000,"Art students experience friendship, unrequited love and uncertainty about their future paths.","soft campus romance",0.20,0.75,0.05,0.80
43,Beck,"Drama,Music,Slice of Life",26,8.3,270000,"A teenager discovers rock music and joins a band while growing through creativity, friendship and ambition.","raw music coming of age",0.25,0.25,0.10,0.75
44,Kino's Journey,"Adventure,Drama,Fantasy",13,8.3,280000,"A traveler and talking motorcycle visit different countries, each revealing philosophical and moral questions.","quiet philosophical adventure",0.45,0.05,0.20,0.75
45,Spice and Wolf,"Adventure,Fantasy,Romance",25,8.2,600000,"A traveling merchant and a wolf harvest goddess journey together while trading, arguing and building trust.","warm fantasy romance",0.25,0.80,0.10,0.65
46,The Ancient Magus Bride,"Drama,Fantasy,Romance,Supernatural",24,8.1,700000,"A lonely girl becomes apprentice and bride to a mysterious mage while learning magic and self-worth.","magical emotional fantasy",0.40,0.75,0.20,0.85
47,Natsume's Book of Friends,"Drama,Fantasy,Slice of Life,Supernatural",74,8.5,550000,"A boy who can see spirits returns names from a book while learning kindness, loneliness and connection.","gentle supernatural slice of life",0.25,0.10,0.05,0.90
48,School-Live,"Horror,Mystery,Psychological,Slice of Life",12,7.6,350000,"A cheerful school club hides a disturbing reality as its members try to survive a collapsed world.","cute dark psychological horror",0.85,0.05,0.25,0.80
49,Shinsekai Yori,"Drama,Horror,Mystery,Sci-Fi",25,8.3,500000,"Children grow up in a future society with psychic powers and slowly discover its hidden cruelty.","dark dystopian mystery",0.95,0.10,0.35,0.90
50,Kaiba,"Adventure,Mystery,Romance,Sci-Fi",12,8.1,120000,"In a world where memories can be stored and transferred, a boy without memories searches for identity and love.","surreal sci-fi romance",0.45,0.55,0.10,0.85
51,Haikyuu,"Comedy,Drama,Sports",85,8.7,1800000,"A short but determined volleyball player joins his high school team and grows through teamwork, rivalry and passion.","bright sports teamwork",0.15,0.05,0.25,0.85
52,One Piece,"Action,Adventure,Comedy,Fantasy",1100,8.7,2400000,"A young pirate and his crew travel across the seas searching for the legendary treasure known as One Piece.","colorful pirate adventure",0.35,0.10,0.95,0.80
53,Naruto,"Action,Adventure,Fantasy,Shounen",220,8.0,3000000,"A young ninja seeks recognition from his village while carrying a powerful spirit inside him.","classic ninja shounen",0.45,0.15,0.90,0.75
54,Naruto Shippuden,"Action,Adventure,Drama,Fantasy",500,8.3,2900000,"Naruto continues his journey as stronger enemies, friendship, war and destiny shape the ninja world.","epic ninja drama",0.65,0.20,0.95,0.90
55,Boruto Naruto Next Generations,"Action,Adventure,Fantasy,Shounen",293,6.5,850000,"The next generation of ninja grows up in a more peaceful world while facing new threats and expectations.","modern ninja adventure",0.35,0.15,0.75,0.45
56,Fairy Tail,"Action,Adventure,Comedy,Fantasy",328,7.7,1600000,"A young celestial wizard joins a powerful magic guild and forms strong bonds through many adventures.","colorful magic adventure",0.25,0.25,0.90,0.70
57,Guilty Crown,"Action,Drama,Romance,Sci-Fi",22,7.4,750000,"A high school student gains a mysterious power and becomes involved in a rebellion against a controlling government.","dramatic sci-fi romance",0.75,0.65,0.80,0.85
58,One Punch Man,"Action,Comedy,Sci-Fi,Supernatural",24,8.5,2700000,"A hero who can defeat any enemy with one punch struggles with boredom and the search for real challenge.","satirical superhero action",0.25,0.05,0.95,0.35
59,Hells Paradise,"Action,Adventure,Dark Fantasy",13,8.1,750000,"A condemned ninja is sent to a dangerous island to find an elixir of life while facing monsters and other criminals.","dark fantasy survival",0.85,0.20,0.95,0.75
60,Solo Leveling,"Action,Adventure,Fantasy",12,8.4,900000,"A weak hunter gains a mysterious system that allows him to grow stronger through deadly dungeons and battles.","dark power fantasy",0.70,0.05,1.00,0.55
61,Hunter x Hunter,"Action,Adventure,Fantasy,Shounen",148,9.0,2600000,"A young boy becomes a hunter to find his father and discovers a world full of danger, friendship and complex battles.","adventure battle shounen",0.55,0.10,0.95,0.85
62,Bleach,"Action,Adventure,Supernatural,Shounen",366,7.9,1900000,"A teenager gains the powers of a Soul Reaper and must protect humans from evil spirits.","stylish supernatural action",0.55,0.10,0.90,0.60
63,Bleach Thousand Year Blood War,"Action,Adventure,Supernatural",26,9.0,800000,"The Soul Society faces a devastating war against the Quincy in a visually intense continuation of Bleach.","high contrast supernatural war",0.75,0.10,1.00,0.75
64,Dragon Ball Z,"Action,Adventure,Fantasy,Shounen",291,8.2,2000000,"Powerful warriors defend Earth against increasingly dangerous enemies through iconic battles and transformations.","classic battle shounen",0.35,0.05,1.00,0.65
65,Dragon Ball Super,"Action,Adventure,Comedy,Fantasy",131,7.5,1200000,"Goku and his friends face gods, multiverse tournaments and new powerful enemies after the events of Dragon Ball Z.","colorful cosmic action",0.25,0.05,0.95,0.45
66,My Hero Academia,"Action,Comedy,School,Superhero",138,7.9,2600000,"A powerless boy in a world full of heroes receives a legendary ability and trains to become a professional hero.","bright superhero school",0.30,0.15,0.90,0.65
67,Chainsaw Man,"Action,Comedy,Horror,Supernatural",12,8.5,1700000,"A poor young man merges with his devil dog and becomes a brutal devil hunter with chaotic dreams and emotions.","bloody urban supernatural",0.85,0.20,0.95,0.70
68,Tokyo Ghoul,"Action,Drama,Horror,Supernatural",12,7.8,1900000,"A student becomes half-ghoul and struggles between human identity and a violent hidden society.","dark urban horror",0.90,0.20,0.75,0.85
69,Tokyo Revengers,"Action,Drama,Supernatural",50,7.9,1200000,"A young man travels back in time to save someone he loves by entering a dangerous delinquent gang world.","urban gang time travel",0.65,0.45,0.75,0.80
70,Blue Lock,"Sports,Thriller,Shounen",24,8.3,1000000,"Talented football players compete in an intense training program designed to create the ultimate striker.","intense sports competition",0.35,0.05,0.55,0.65
71,Black Clover,"Action,Comedy,Fantasy,Shounen",170,8.1,1500000,"A boy without magic trains relentlessly to become the Wizard King in a world where magic decides status.","energetic magic shounen",0.30,0.15,0.95,0.70
72,Dr Stone,"Adventure,Comedy,Sci-Fi,Shounen",57,8.2,1300000,"A science genius tries to rebuild civilization after humanity is mysteriously turned to stone.","bright science adventure",0.20,0.10,0.35,0.60
73,Fire Force,"Action,Sci-Fi,Supernatural",48,7.7,1000000,"Special firefighters battle human combustions while uncovering religious and scientific conspiracies.","fiery supernatural action",0.55,0.10,0.90,0.55
74,Sword Art Online,"Action,Adventure,Fantasy,Romance",96,7.2,2300000,"Players trapped inside a virtual reality game must fight to survive and escape the digital world.","virtual fantasy romance",0.35,0.65,0.75,0.65
75,Mob Psycho 100,"Action,Comedy,Slice of Life,Supernatural",37,8.7,1600000,"A quiet boy with overwhelming psychic powers tries to live normally while learning emotional maturity.","expressive supernatural comedy",0.30,0.10,0.70,0.90
76,Code Geass,"Action,Drama,Mecha,Sci-Fi",50,8.7,1900000,"A brilliant exiled prince gains the power of command and leads a rebellion against an empire.","strategic mecha drama",0.75,0.25,0.85,0.90
77,Neon Genesis Evangelion,"Action,Drama,Mecha,Psychological",26,8.4,1500000,"Teenagers pilot giant machines against mysterious beings while facing trauma, loneliness and identity crises.","psychological mecha dark",0.90,0.20,0.65,0.95
78,Re Zero,"Drama,Fantasy,Psychological,Thriller",50,8.3,1800000,"A boy transported to another world repeatedly dies and returns to earlier points while trying to protect others.","dark isekai psychological",0.85,0.55,0.55,0.95
79,That Time I Got Reincarnated as a Slime,"Action,Adventure,Comedy,Fantasy",72,8.1,1400000,"A man reincarnates as a slime and builds a peaceful monster nation while gaining powerful abilities.","colorful isekai fantasy",0.20,0.10,0.75,0.50
80,No Game No Life,"Adventure,Comedy,Fantasy,Game",12,8.1,1500000,"Two genius siblings are transported to a world where every conflict is solved through games.","bright game fantasy",0.20,0.15,0.30,0.45
